=== SIMULATION DE PERFORMANCE - TOWER DEFENSE ===
Date: 2025-11-18 19:33:16
Durée: 5 minutes
Format: Temps(min:sec:ms), Total Ennemis, FPS, UPS, Ennemis actifs, Tours actives, Projectiles actifs, Mémoire utilisée (MB)
================================================

00:00:001, 10, 119, 59, 10, 112, 0, 17
00:00:001, 20, 119, 59, 20, 112, 0, 17
00:01:010, 620, 115, 59, 620, 112, 2, 26
00:02:010, 1220, 120, 60, 1056, 112, 1, 63
00:03:014, 1820, 119, 60, 1571, 112, 9, 84
00:04:016, 2420, 119, 60, 1627, 112, 2, 84
00:05:021, 3020, 102, 60, 1900, 112, 8, 85
00:06:012, 3570, 86, 56, 2327, 112, 4, 85
00:06:018, 3580, 86, 56, 2336, 112, 3, 85
00:07:014, 4170, 94, 60, 2279, 112, 2, 86
00:08:017, 4760, 82, 59, 2478, 112, 8, 87
00:09:009, 5340, 99, 58, 2804, 112, 4, 87
00:10:008, 5920, 92, 59, 2703, 112, 3, 88
00:10:024, 5930, 92, 59, 2713, 112, 3, 88
00:11:018, 6520, 95, 59, 2809, 112, 8, 88
00:12:023, 7120, 92, 60, 3212, 112, 7, 89
00:13:014, 7690, 74, 58, 3040, 112, 6, 90
00:14:016, 8210, 65, 52, 3445, 112, 10, 91
00:14:037, 8220, 65, 52, 3455, 112, 9, 91
00:15:035, 8800, 59, 59, 3427, 112, 6, 16
00:16:028, 9380, 59, 58, 3341, 112, 7, 17
00:17:017, 9970, 87, 60, 3681, 112, 9, 18
00:18:019, 10380, 42, 41, 3543, 112, 7, 19
00:19:015, 10970, 42, 41, 3663, 112, 6, 19
00:19:033, 10980, 62, 60, 3673, 112, 6, 19
00:21:027, 12050, 52, 52, 3901, 112, 11, 21
00:22:025, 12650, 68, 58, 3901, 112, 14, 22
00:23:011, 13210, 69, 61, 3961, 112, 6, 23
00:23:026, 13220, 69, 61, 3969, 112, 4, 23
00:24:024, 13790, 79, 57, 3893, 112, 10, 24
00:25:012, 14380, 92, 57, 4069, 112, 12, 25
00:25:033, 14390, 92, 57, 4078, 112, 12, 25
00:27:015, 15480, 55, 54, 4009, 112, 4, 27
00:29:024, 16630, 56, 56, 3871, 112, 15, 29
00:30:031, 17220, 60, 60, 4247, 112, 10, 30
00:31:030, 17780, 59, 59, 4181, 112, 11, 31
00:32:011, 18360, 56, 56, 4205, 112, 14, 32
00:33:030, 18900, 59, 59, 4344, 112, 22, 32
00:34:029, 19500, 54, 54, 4218, 112, 12, 33
00:35:027, 20090, 63, 60, 4309, 112, 13, 35
00:36:022, 20640, 60, 60, 4585, 112, 17, 36
00:37:027, 21240, 56, 56, 4436, 112, 7, 37
00:38:027, 21780, 60, 60, 4440, 112, 13, 38
00:39:044, 22210, 55, 54, 4433, 112, 12, 39
00:40:029, 22720, 37, 38, 4520, 112, 13, 39
00:42:015, 23820, 52, 52, 4586, 112, 14, 41
00:43:026, 24330, 63, 58, 4824, 112, 17, 42
00:44:027, 24760, 59, 53, 4596, 112, 11, 43
00:46:024, 25690, 38, 38, 4671, 112, 14, 45
00:47:026, 26210, 55, 55, 4895, 112, 17, 46
00:48:010, 26720, 48, 47, 4847, 112, 15, 47
